Average Waiting Time (min),Median Waiting Time (min),P95 Waiting Time (min),Maximum Waiting Time (min),Average Time in System (min),Average Queue Length,Throughput (students/hour),Officer Utilization (%),Scenario,Replication,Arrival Rate (students/hour)
109.16453821358,116.99419741339334,220.5168570010391,229.8496962780397,114.36158096839148,20.99946582769693,11.541916177913869,99.97305308178113,High,25,20
58.934010019621184,51.30322623292286,123.41037630408495,140.1302131347711,62.98854600703009,13.940680194839754,14.192837232896675,95.90894887369468,High,26,20
39.617709488544364,35.96022811990763,62.12400741860021,70.9440158383068,43.91998638346431,9.154271075504827,13.863907621643536,99.41061572316934,High,27,20
67.98646615168877,70.27433993200017,119.260894232627,120.02397855375159,72.13428319325452,15.645920058625224,13.807971742831862,95.454900840627,High,28,20
78.01150540200173,71.1638224366082,170.95642833708916,178.30082656162014,82.11657991592132,18.976791773266548,14.595379239621455,99.85853222926818,High,29,20
94.83839382885031,113.39115242934174,154.78070756109108,165.01016813187812,99.40451782764592,20.6677386272582,13.075551657626853,99.50765036896888,High,30,20
81.52509077623732,75.12283457998328,160.01046402458766,167.75533343722964,85.76826582018815,19.097322730763455,14.055051677167748,99.39674086332934,Peak,1,25
100.83749642160308,97.99261583076422,174.70904223048527,189.156133946748,105.0239163957163,24.068889964034987,14.321392825979693,99.92560830633838,Peak,2,25
122.96552983263774,127.6372214775246,211.71313239279232,227.9841557582869,127.84763212715774,25.138270219948126,12.266008329730733,99.80651235196636,Peak,3,25
117.38586228313079,130.77410887882277,214.5050998110439,221.26060447290845,122.01217892787113,24.88312640620059,12.718631999916642,98.06736486590273,Peak,4,25
80.56523817735442,81.19798897750626,134.04243110653317,138.6163827424296,84.25820644496949,21.490429204887846,16.00474077237579,98.5083330063151,Peak,5,25
84.01003399037786,75.12040409868612,151.8040806298321,159.14508933311043,87.98512620376434,21.04591057082571,15.030997778124611,99.58267037875447,Peak,6,25
109.06379735961235,124.21982908547332,177.1955235547506,187.18408568188116,113.25533499105379,25.91501063197802,14.2567990072064,99.59651590433823,Peak,7,25
126.02369133808304,136.74707620031595,224.17177053816968,225.90769332429088,130.2374551704631,29.816263996645752,14.195551810964414,99.6945046695315,Peak,8,25
95.34027238096697,74.48595678873573,199.84580129419183,207.51475136484962,99.81505977587132,20.934986920903203,13.174906929518599,98.25817909541277,Peak,9,25
70.86500656927811,85.54177430088973,109.28535931491196,114.26908255019549,74.27706428305697,20.516377193147964,17.370810942992872,98.783682454389,Peak,10,25
104.74527274578396,104.38127156075137,200.8691973712361,203.09003637914506,109.02609477315535,24.437040047537494,13.997981621669563,99.87144677463776,Peak,11,25
76.75672417221743,86.62785693268462,155.2895692128258,181.74902937375433,81.02203284946148,17.591041739142472,13.750749732107241,97.75198691828004,Peak,12,25
123.37196126160421,123.46693671512921,186.37946064085327,190.7685931710875,127.61813884809818,28.776608994251724,13.995048161664057,99.0424330432694,Peak,13,25
73.15231692468255,60.968146843325826,153.64463257677258,166.84956868513356,77.12738817699174,17.85528593811213,14.645020162379181,97.02499772827039,Peak,14,25
88.70106011474057,85.54086866552757,157.36117520403167,170.4681187442252,92.93293596108872,20.49390753193778,13.862680449654771,97.77523760089457,Peak,15,25
107.80542397443203,138.30243633495206,169.49319554857757,172.6751163963825,111.71416618374892,27.42537595697984,15.263819729599645,99.43722742081671,Peak,16,25
56.16730244183208,55.903076616917,103.28694212181945,105.76858240529893,59.56639599966336,16.343552528254413,17.458790240296945,98.90676905553487,Peak,17,25
106.40222186546418,129.1549148146211,195.18690637243665,201.0564013370117,110.7918893714713,24.155062799546712,13.620991578590475,99.65270688689208,Peak,18,25
89.82279747399848,83.8884753873026,168.48626523616446,170.77402093554218,94.08287712984624,20.935380976451555,13.98445488129793,99.29148622989604,Peak,19,25
94.29565906437388,91.83225902497769,190.71243148917395,198.73565642176123,98.54063199237291,22.13979517244561,14.08747468894481,99.66824779740445,Peak,20,25
87.83515110642404,97.57744696634761,150.85667385951984,155.06769218022475,91.74644598530449,22.027208567145305,15.046738092672985,98.08704940954577,Peak,21,25
45.06884861760311,38.14136300614743,93.68466000326939,105.12613163743606,48.269183708549896,14.052960309923874,18.708656743143468,99.78995113260073,Peak,22,25
61.52976100087656,67.20877781722456,103.71009605341662,113.40531851720402,65.66023083292474,14.86221062378308,14.492704390876492,99.76946378551274,Peak,23,25
70.10435767353779,70.7128816044602,112.78549771294443,118.73266515521445,73.71606608641152,19.358532403995476,16.568327316379694,99.73327859302339,Peak,24,25
138.54590208410275,149.17431880807123,275.1092979589325,287.1038060895985,143.74294483891424,26.65285623547749,11.542538249582368,99.97844130354405,Peak,25,25
84.68174279203987,76.66180110860765,173.12548781461823,191.77197434117758,88.73627877944877,20.261157794423514,14.355744551111014,97.00980484754854,Peak,26,25
74.47811496034461,65.41978443919903,126.17222664960624,134.21909633368915,78.78039185526457,17.22960481041528,13.880269246547718,99.52793612448369,Peak,27,25
92.48580937090344,93.66600324878152,156.00192387766813,158.4525579819493,96.6336264124692,21.601314000195668,14.013813025239024,96.87788747233729,Peak,28,25
101.41747664273038,95.56984728250393,215.0354636251374,223.85668176116545,105.52255115664995,24.67742433918568,14.599509959877055,99.88679375334385,Peak,29,25
125.67222591796553,149.1732770196959,208.6505192707291,221.161315788078,130.23834991676108,27.41422279694667,13.0884398346736,99.60573205982534,Peak,30,25
